name,speed,acc,weight,multiplier
Toy-volt Towing,55.1,1.99,3.50,1.0
Big Rock,56.4,1.71,3.30,1.1
Bad Bison,54.9,1.77,2.80,1.1
Mouse,55.0,2.88,2.30,1.0
Nitro Crusher,53.9,2.51,2.30,1.0
Jungle Ranger,52.8,2.39,2.30,0.6
Badd RC,54.2,2.27,2.00,0.8
Genghis Kar,57.0,1.65,2.00,1.5
Off Gear,50.4,2.31,1.90,0.8
Koin Karp,54.8,1.96,1.70,0.7
Tempest,51.6,2.36,1.60,1.0
RC Phink,49.6,2.28,1.60,1.2
Frograph,49.6,2.70,1.55,0.6
Hotknife,53.6,2.56,1.50,0.9
Vixen,51.3,2.39,1.50,0.6
Ultra Gamma,55.5,1.80,1.50,0.6
Aquasonic,55.0,2.41,1.40,0.6
Strax,50.2,2.58,1.40,0.9
Emilia,53.4,2.36,1.40,0.7
Matra XL,55.6,2.12,1.40,0.7
Star Carbs,51.2,2.22,1.40,0.7
Mongoose,52.8,1.99,1.40,0.7
Flatter 4V,51.8,2.17,1.30,0.6
Power Cap,54.4,1.93,1.30,0.9
Candy Pebbles,55.0,1.82,1.30,0.8
Mirage,54.8,2.20,1.25,0.8
Exceed,55.7,2.41,1.20,0.9
LA 54,51.8,2.53,1.20,0.9
Bumblebee,50.2,2.28,1.10,0.7
Rc San,53.0,3.16,1.00,0.7
Mystery,68.40,5.26,1.00,1.0
