name,speed,acc,weight,multiplier
Adeon,59.0,2.97,1.20,0.7
Ancile,60.0,2.29,2.50,0.7
Arnoux,59.8,2.46,1.50,0.9
Big Match Jim,60.7,2.92,2.90,0.6
Canary XL,58.8,2.08,2.30,0.7
Chubba,58.9,2.67,3.00,1.0
Cloromorph,59.6,2.92,1.40,1.2
Dual Signal,59.2,2.58,1.70,0.7
Heritage,57.0,3.09,1.70,0.9
Hydrox,60.1,3.13,1.50,0.7
Jackal,63.6,2.10,2.50,1.0
Jet Astro,58.5,2.85,1.80,1.0
JG-7,58.9,2.72,1.20,0.8
Lunar Roader,61.4,2.02,3.00,1.0
Nitrox XLI,59.7,2.05,1.20,1.4
Pemto,65.4,2.57,1.50,1.2
Pest Control,66.0,1.65,2.00,1.6
Pole Poz,60.0,2.52,1.70,1.5
Predator,62.2,2.16,3.40,0.8
RC Vector,58.3,3.64,1.75,0.6
RC-Erra,59.7,2.53,1.60,0.7
RG1,57.8,2.81,1.40,0.9
Rothams Racing,59.7,3.04,1.60,1.0
Rotor,65.0,2.01,3.00,2.3
RV Loco,63.3,1.98,2.25,3.0
Sizzler,58.3,3.27,1.20,0.9
Touga,65.6,3.08,2.00,0.9
Tribute,64.6,2.95,2.00,0.7
Yuurei V8,58.0,3.04,1.70,0.7
Zipper,61.0,2.80,1.40,0.8
