name,speed,acc,weight,multiplier
APC L-13,55,1.98,3.5,0.7
Bertha Ballistics,56,2.21,3,0.7
Alice,54,2.32,1.4,0.8
Bendor,50,3.22,2.2,0.7
Cerveth,54,2.66,1.5,0.9
Big Momma,53,2.3,3,1.0
R6 Turbo,59,2.46,0.8,1.0
NY 54,57,1.62,1.6,1.2
Aerozad,57,2.3,1.45,1.2
Panga TC,59,2.11,1.8,1.2
Evil Weasel,58,1.95,1.4,1.3
Donnie TC,57,2.73,1.7,1.2
Emperor,57,2.34,2,1.4
Frostbite,58.0,2.15,1.30,0.7
Groovster,56,1.65,2.0,1.0
Griffin,58.0,2.35,1.60,0.6
Grimlock,57.0,2.21,2.50,0.8
Kyoki,57.0,2.73,1.40,0.6
Le Pastel,57.0,2.18,2.00,0.7
Marauder,58.0,1.96,1.70,0.7
Piran'Attack,53.0,2.89,1.30,0.7
Prizmer,53.0,2.89,1.20,0.7
RC Action,55.0,2.56,1.20,0.7
Sarge,56.0,2.51,1.60,0.7
Sturm,52.0,2.99,2.00,0.9
The Corporal,57.0,2.72,2.30,0.6
Whiplash,56.0,2.28,1.40,0.7
