name,speed,acc,weight,multiplier
Clockwork Ghibli, 52.9, 2.48, 1.25, 0.7
Clockwork Peak, 51.2, 4.57, 0.9, 0.7
Clockwork Rally, 55.0, 2.97, 1.25, 0.7
Clockwork Rod, 53.0, 2.5, 1.18, 0.7
Clockwork Super, 54.4, 3.23, 1.1, 0.7
Clockwork Turbo, 55.6, 3.3, 1.14, 0.7
Clockwork Banger, 52.5, 1.93, 1.33, 0.9
Clockwork Mud, 54.0, 2.21, 1.21, 0.9
Clockwork Sport, 52.5, 2.35, 1.28, 0.9
Clockwork Baja, 53.6, 1.94, 1.3, 1.0
Clockwork Beast, 54.9, 1.73, 1.5, 1.0
Clockwork Midget, 52.7, 2.36, 1.16, 1.0
Clockwork Trial, 53.7, 1.64, 1.7, 1.2
Clockwork Stream, 53.2, 2.22, 1.22, 1.5
Clockwork Buggy, 52.5, 2.27, 1.2, 2.0
