name,speed,acc,weight,multiplier
Phat Trucker,47.9,2.23,3.50,0.7
Tesla,53.7,1.51,3.00,1.0
Yella,50.8,1.59,2.50,1.0
Phat Slug,51.0,1.4,2.50,1.6
Bigvolt,52.6,2.36,2.30,0.8
High Rod,48.8,2.17,1.90,0.7
Angus 400,50.1,2.24,1.80,1.0
Speeder,48.1,2.37,1.75,0.8
Crazy Pat,49.0,2.30,1.70,1.0
Harvester,48.0,2.31,1.70,0.9
Vaanbus,53.4,1.81,1.70,1.2
LR 64,53.7,1.55,1.70,0.7
Volken Turbo,50.0,2.22,1.60,0.8
Porumbarul,53.0,1.75,1.60,1.1
Rebound 4x4,53.6,2.25,1.50,1.3
Col Moss,53.0,2.16,1.50,0.8
Sunset Light,48.4,2.35,1.50,1.0
Hurricane,48.7,2.30,1.50,0.6
Nesbitt,53.2,1.81,1.50,0.9
Dr. Grudge,51.0,2.53,1.40,0.6
Panorama,50.4,2.31,1.35,1.3
Naranja Turbo,47.0,2.78,1.30,0.9
Rc Bandit,52.0,2.08,1.20,0.6
Bed Bug,52.1,1.98,1.20,0.9
El Gekko,51.1,2.01,1.20,0.9
Dust Mite,51.0,1.97,1.20,1.2
Micro,50.7,2.32,1.10,1.1
Kanberra Kruiser,50.6,2.39,1.00,0.6
Sprinter XL,51.0,3.18,0.90,0.7
Road Star,50.1,2.49,0.80,0.9
