name,speed,acc,weight,multiplier
Alterego,70.4,3.26,2.00,0.8
Anaconda GT,74.7,2.37,1.70,0.9
Arion,69.0,3.40,1.10,0.9
Calcure,71.0,2.87,2.00,0.8
Cambold R,70.9,3.70,1.40,0.7
Commandine,65.0,3.43,2.00,0.8
Concept 4000,67.8,3.23,1.45,2.5
Dragheat,70.3,3.23,2.00,0.8
Elyta,68.2,3.33,2.10,0.7
Endo,75.3,4.50,2.70,0.7
FLIR,71.4,5.66,2.00,1.0
Golden Eye,73.8,3.00,1.60,0.8
Hemera,73.3,3.34,1.40,0.9
Hetgarde GT1,71.4,3.82,1.20,1.1
Identity X,78.2,3.38,2.50,1.0
Kazuki,72.7,3.42,1.85,0.7
King Kaiju,72.7,5.09,1.70,0.9
La Rossa,72.9,4.15,2.00,0.8
Maxxas XLR38,72.1,2.99,2.56,0.7
Purp XL,67.4,3.21,2.00,0.9
Quicksilver,64.0,2.79,1.20,0.8
Revel,72.7,4.35,2.00,0.7
Rinne,80.4,3.69,1.90,0.7
Saeger,69.7,5.81,2.00,1.2
Starmac,68.6,3.54,1.80,0.7
Sterling F77,70.9,3.94,1.40,0.8
Stinger,70.2,3.08,2.00,0.7
XM250,70.2,3.13,1.40,0.8
Yinisa,67.3,4.74,1.50,0.8
Zany Zoomer,74.7,3.53,2.55,1.5
